time_sec,beat_index,lane,type,hold_sec,section,salience,difficulty
0.294,0,0,TAP,,INTRO,0.088,EASY_V2
1.83,4,1,TAP,,INTRO,0.064,EASY_V2
3.366,8,2,TAP,,INTRO,0.0,EASY_V2
4.134,10,1,TAP,,MAIN,0.0,EASY_V2
5.67,14,2,TAP,,MAIN,0.174,EASY_V2
6.438,16,1,TAP,,MAIN,0.0,EASY_V2
7.974,20,0,TAP,,MAIN,0.0,EASY_V2
8.742,22,1,TAP,,MAIN,0.0,EASY_V2
10.278,26,1,TAP,,MAIN,0.0,EASY_V2
11.814,30,2,TAP,,MAIN,0.077,EASY_V2
12.582,32,1,TAP,,MAIN,0.0,EASY_V2
14.118,36,0,TAP,,MAIN,0.0,EASY_V2
14.886,38,1,TAP,,MAIN,0.058,EASY_V2
16.422,42,1,TAP,,MAIN,0.38,EASY_V2
17.958,46,2,TAP,,MAIN,0.45,EASY_V2
18.726,48,1,TAP,,MAIN,0.46,EASY_V2
20.262,52,0,TAP,,MAIN,0.711,EASY_V2
21.03,54,1,TAP,,MAIN,0.588,EASY_V2
22.566,58,1,TAP,,MAIN,0.568,EASY_V2
24.102,62,2,TAP,,MAIN,0.763,EASY_V2
24.87,64,1,TAP,,MAIN,0.709,EASY_V2
26.406,68,0,TAP,,MAIN,0.205,EASY_V2
27.174,70,1,TAP,,MAIN,0.012,EASY_V2
28.71,74,1,TAP,,MAIN,0.0,EASY_V2
29.478,76,0,TAP,,MAIN,0.0,EASY_V2
31.014,80,1,TAP,,MAIN,0.05,EASY_V2
32.55,84,0,TAP,,MAIN,0.095,EASY_V2
33.318,86,1,TAP,,MAIN,0.005,EASY_V2
34.854,90,1,TAP,,MAIN,0.036,EASY_V2
35.622,92,0,TAP,,MAIN,0.041,EASY_V2
37.158,96,1,TAP,,MAIN,0.142,EASY_V2
38.694,100,0,TAP,,MAIN,0.12,EASY_V2
39.462,102,1,TAP,,MAIN,0.179,EASY_V2
40.998,106,1,TAP,,MAIN,0.0,EASY_V2
41.766,108,0,TAP,,MAIN,0.095,EASY_V2
43.302,112,1,TAP,,MAIN,0.024,EASY_V2
44.838,116,0,TAP,,MAIN,0.079,EASY_V2
45.606,118,1,TAP,,MAIN,0.043,EASY_V2
47.142,122,1,TAP,,MAIN,0.053,EASY_V2
47.91,124,0,TAP,,MAIN,0.008,EASY_V2
49.446,128,1,TAP,,MAIN,0.059,EASY_V2
50.982,132,2,HOLD_CANDIDATE,0.768,BREAK,0.0,EASY_V2
52.518,136,0,HOLD_CANDIDATE,0.768,BREAK,0.0,EASY_V2
54.054,140,1,TAP,,BREAK,0.0,EASY_V2
55.59,144,2,TAP,,BREAK,0.0,EASY_V2
56.358,146,1,TAP,,SECOND_DROP,0.0,EASY_V2
57.894,150,2,TAP,,SECOND_DROP,0.217,EASY_V2
58.662,152,1,TAP,,SECOND_DROP,0.38,EASY_V2
59.814,155,0,TAP,,SECOND_DROP,0.914,EASY_V2
60.198,156,1,TAP,,SECOND_DROP,0.378,EASY_V2
61.734,160,1,TAP,,SECOND_DROP,0.307,EASY_V2
62.502,162,0,TAP,,SECOND_DROP,0.344,EASY_V2
63.27,164,1,TAP,,SECOND_DROP,0.29,EASY_V2
64.038,166,2,TAP,,SECOND_DROP,0.143,EASY_V2
65.574,170,1,TAP,,SECOND_DROP,0.336,EASY_V2
65.958,171,2,TAP,,SECOND_DROP,1.0,EASY_V2
67.11,174,0,TAP,,SECOND_DROP,0.151,EASY_V2
67.878,176,2,TAP,,SECOND_DROP,0.278,EASY_V2
69.414,180,2,TAP,,SECOND_DROP,0.216,EASY_V2
70.95,184,1,TAP,,SECOND_DROP,0.277,EASY_V2
71.718,186,2,TAP,,SECOND_DROP,0.402,EASY_V2
72.486,188,0,TAP,,SECOND_DROP,0.272,EASY_V2
73.254,190,2,TAP,,SECOND_DROP,0.189,EASY_V2
74.79,194,2,TAP,,SECOND_DROP,0.31,EASY_V2
75.174,195,0,TAP,,SECOND_DROP,0.851,EASY_V2
76.326,198,2,TAP,,SECOND_DROP,0.413,EASY_V2
76.71,199,1,TAP,,SECOND_DROP,0.95,EASY_V2
77.862,202,2,TAP,,SECOND_DROP,0.388,EASY_V2
78.246,203,1,TAP,,SECOND_DROP,0.784,EASY_V2
79.398,206,0,TAP,,SECOND_DROP,0.229,EASY_V2
80.166,208,1,TAP,,OUTRO,0.357,EASY_V2
80.934,210,2,TAP,,OUTRO,0.365,EASY_V2
81.702,212,1,HOLD_CANDIDATE,0.768,OUTRO,0.418,EASY_V2
82.47,214,0,TAP,,OUTRO,0.325,EASY_V2
83.238,216,2,TAP,,OUTRO,0.416,EASY_V2
84.006,218,1,TAP,,OUTRO,0.421,EASY_V2
85.542,222,0,TAP,,OUTRO,0.147,EASY_V2
86.31,224,1,TAP,,OUTRO,0.362,EASY_V2
87.078,226,2,TAP,,OUTRO,0.324,EASY_V2
87.846,228,1,TAP,,OUTRO,0.019,EASY_V2
88.614,230,0,TAP,,OUTRO,0.001,EASY_V2
89.382,232,2,TAP,,OUTRO,0.0,EASY_V2
