time_sec,grid_index_16th,lane,type,hold_sec,section,source
0.294,0,0,TAP,,INTRO,NORMAL_V2
1.83,16,1,TAP,,INTRO,NORMAL_V2
2.598,24,2,TAP,,INTRO,NORMAL_V2
3.366,32,2,TAP,,INTRO,NORMAL_V2
4.134,40,1,TAP,,MAIN,NORMAL_V2
4.422,43,0,TAP,,MAIN,HARD_16TH_ODD
5.67,56,2,TAP,,MAIN,NORMAL_V2
5.958,59,0,TAP,,MAIN,HARD_16TH_ODD
6.246,62,1,TAP,,MAIN,NORMAL_V2
6.438,64,1,TAP,,MAIN,NORMAL_V2
7.494,75,1,TAP,,MAIN,HARD_16TH_ODD
7.974,80,0,TAP,,MAIN,NORMAL_V2
8.55,86,2,TAP,,MAIN,NORMAL_V2
8.742,88,1,TAP,,MAIN,NORMAL_V2
9.702,98,2,TAP,,MAIN,HARD_ADD
10.278,104,1,TAP,,MAIN,NORMAL_V2
10.47,106,2,TAP,,MAIN,NORMAL_V2
11.334,115,0,TAP,,MAIN,HARD_16TH_ODD
11.814,120,2,HOLD_CANDIDATE,0.768,MAIN,NORMAL_V2
12.582,128,1,TAP,,MAIN,NORMAL_V2
12.774,130,0,TAP,,MAIN,NORMAL_V2
13.254,135,1,TAP,,MAIN,HARD_16TH_ODD
14.118,144,0,TAP,,MAIN,NORMAL_V2
14.79,151,1,TAP,,MAIN,HARD_16TH_ODD
14.886,152,1,TAP,,MAIN,NORMAL_V2
15.078,154,0,TAP,,MAIN,NORMAL_V2
16.422,168,1,TAP,,MAIN,NORMAL_V2
16.614,170,0,TAP,,MAIN,NORMAL_V2
17.382,178,2,TAP,,MAIN,HARD_ADD
17.958,184,2,TAP,,MAIN,NORMAL_V2
18.246,187,1,TAP,,MAIN,HARD_16TH_ODD
18.726,192,1,TAP,,MAIN,NORMAL_V2
18.918,194,0,TAP,,MAIN,NORMAL_V2
20.262,208,0,TAP,,MAIN,NORMAL_V2
20.454,210,1,TAP,,MAIN,HARD_ADD
21.03,216,1,TAP,,MAIN,NORMAL_V2
21.222,218,2,TAP,,MAIN,NORMAL_V2
22.374,230,0,TAP,,MAIN,NORMAL_V2
22.566,232,1,HOLD_CANDIDATE,0.768,MAIN,NORMAL_V2
22.758,234,2,TAP,,MAIN,HARD_ADD
24.102,248,2,TAP,,MAIN,NORMAL_V2
24.294,250,0,TAP,,MAIN,HARD_ADD
24.678,254,1,TAP,,MAIN,NORMAL_V2
24.87,256,1,TAP,,MAIN,NORMAL_V2
25.446,262,0,TAP,,MAIN,HARD_ADD
26.406,272,0,TAP,,MAIN,NORMAL_V2
26.982,278,2,TAP,,MAIN,NORMAL_V2
27.174,280,1,TAP,,MAIN,NORMAL_V2
27.366,282,2,TAP,,MAIN,HARD_ADD
28.71,296,1,TAP,,MAIN,NORMAL_V2
28.902,298,2,TAP,,MAIN,NORMAL_V2
29.478,304,0,TAP,,MAIN,NORMAL_V2
29.67,306,2,TAP,,MAIN,HARD_ADD
31.014,320,1,TAP,,MAIN,NORMAL_V2
31.206,322,2,TAP,,MAIN,NORMAL_V2
31.59,326,1,TAP,,MAIN,HARD_ADD
32.55,336,0,TAP,,MAIN,NORMAL_V2
32.742,338,1,TAP,,MAIN,HARD_ADD
33.318,344,1,TAP,,MAIN,NORMAL_V2
33.51,346,0,TAP,,MAIN,NORMAL_V2
34.662,358,1,TAP,,MAIN,HARD_ADD
34.854,360,1,HOLD_CANDIDATE,0.768,MAIN,NORMAL_V2
35.046,362,2,TAP,,MAIN,NORMAL_V2
35.622,368,0,TAP,,MAIN,NORMAL_V2
36.582,378,1,TAP,,MAIN,HARD_ADD
37.158,384,1,TAP,,MAIN,NORMAL_V2
37.35,386,2,TAP,,MAIN,NORMAL_V2
38.694,400,0,TAP,,MAIN,NORMAL_V2
38.886,402,1,TAP,,MAIN,HARD_ADD
39.462,408,1,TAP,,MAIN,NORMAL_V2
39.654,410,2,TAP,,MAIN,NORMAL_V2
40.422,418,1,TAP,,MAIN,HARD_ADD
