time_sec,grid_index_8th,lane,type,hold_sec,section,source
0.294,0,0,TAP,,INTRO,EASY_V2
1.83,8,1,TAP,,INTRO,EASY_V2
2.598,12,2,TAP,,INTRO,NORMAL_ADD
3.366,16,2,TAP,,INTRO,EASY_V2
4.134,20,1,TAP,,MAIN,EASY_V2
5.67,28,2,TAP,,MAIN,EASY_V2
6.246,31,1,TAP,,MAIN,NORMAL_ADD
6.438,32,1,TAP,,MAIN,EASY_V2
7.974,40,0,TAP,,MAIN,EASY_V2
8.55,43,2,TAP,,MAIN,NORMAL_ADD
8.742,44,1,TAP,,MAIN,EASY_V2
10.278,52,1,TAP,,MAIN,EASY_V2
10.47,53,2,TAP,,MAIN,NORMAL_ADD
11.814,60,2,TAP,,MAIN,EASY_V2
12.582,64,1,TAP,,MAIN,EASY_V2
12.774,65,0,TAP,,MAIN,NORMAL_ADD
14.118,72,0,TAP,,MAIN,EASY_V2
14.886,76,1,TAP,,MAIN,EASY_V2
15.078,77,0,TAP,,MAIN,NORMAL_ADD
16.422,84,1,TAP,,MAIN,EASY_V2
16.614,85,0,TAP,,MAIN,NORMAL_ADD
17.958,92,2,TAP,,MAIN,EASY_V2
18.726,96,1,TAP,,MAIN,EASY_V2
18.918,97,0,TAP,,MAIN,NORMAL_ADD
20.262,104,0,TAP,,MAIN,EASY_V2
21.03,108,1,TAP,,MAIN,EASY_V2
21.222,109,2,TAP,,MAIN,NORMAL_ADD
22.374,115,0,TAP,,MAIN,NORMAL_ADD
22.566,116,1,HOLD_CANDIDATE,0.768,MAIN,EASY_V2
24.102,124,2,TAP,,MAIN,EASY_V2
24.678,127,1,TAP,,MAIN,NORMAL_ADD
24.87,128,1,TAP,,MAIN,EASY_V2
26.406,136,0,TAP,,MAIN,EASY_V2
26.982,139,2,TAP,,MAIN,NORMAL_ADD
27.174,140,1,TAP,,MAIN,EASY_V2
28.71,148,1,TAP,,MAIN,EASY_V2
28.902,149,2,TAP,,MAIN,NORMAL_ADD
29.478,152,0,TAP,,MAIN,EASY_V2
31.014,160,1,TAP,,MAIN,EASY_V2
31.206,161,2,TAP,,MAIN,NORMAL_ADD
32.55,168,0,TAP,,MAIN,EASY_V2
33.318,172,1,TAP,,MAIN,EASY_V2
33.51,173,0,TAP,,MAIN,NORMAL_ADD
34.854,180,1,TAP,,MAIN,EASY_V2
35.046,181,2,TAP,,MAIN,NORMAL_ADD
35.622,184,0,TAP,,MAIN,EASY_V2
37.158,192,1,TAP,,MAIN,EASY_V2
37.35,193,2,TAP,,MAIN,NORMAL_ADD
38.694,200,0,TAP,,MAIN,EASY_V2
39.462,204,1,TAP,,MAIN,EASY_V2
39.654,205,2,TAP,,MAIN,NORMAL_ADD
40.806,211,2,TAP,,MAIN,NORMAL_ADD
40.998,212,1,TAP,,MAIN,EASY_V2
41.766,216,0,TAP,,MAIN,EASY_V2
43.11,223,1,TAP,,MAIN,NORMAL_ADD
43.302,224,1,TAP,,MAIN,EASY_V2
44.838,232,0,TAP,,MAIN,EASY_V2
45.414,235,2,TAP,,MAIN,NORMAL_ADD
45.606,236,1,TAP,,MAIN,EASY_V2
47.142,244,1,TAP,,MAIN,EASY_V2
47.334,245,0,TAP,,MAIN,NORMAL_ADD
47.91,248,0,TAP,,MAIN,EASY_V2
49.446,256,1,TAP,,MAIN,EASY_V2
49.638,257,2,TAP,,MAIN,NORMAL_ADD
50.982,264,2,HOLD_CANDIDATE,0.768,BREAK,EASY_V2
52.518,272,0,HOLD_CANDIDATE,0.768,BREAK,EASY_V2
53.286,276,2,TAP,,BREAK,NORMAL_ADD
54.054,280,1,TAP,,BREAK,EASY_V2
55.59,288,2,TAP,,BREAK,EASY_V2
56.358,292,1,TAP,,SECOND_DROP,EASY_V2
56.55,293,2,TAP,,SECOND_DROP,NORMAL_ADD
57.894,300,2,TAP,,SECOND_DROP,EASY_V2
58.662,304,1,TAP,,SECOND_DROP,EASY_V2
58.854,305,2,TAP,,SECOND_DROP,NORMAL_ADD
59.814,310,0,TAP,,SECOND_DROP,EASY_V2
60.198,312,1,TAP,,SECOND_DROP,EASY_V2
61.158,317,1,TAP,,SECOND_DROP,NORMAL_ADD
61.734,320,1,TAP,,SECOND_DROP,EASY_V2
62.502,324,0,TAP,,SECOND_DROP,EASY_V2
62.694,325,2,TAP,,SECOND_DROP,NORMAL_ADD
63.27,328,1,TAP,,SECOND_DROP,EASY_V2
64.038,332,2,TAP,,SECOND_DROP,EASY_V2
64.998,337,0,TAP,,SECOND_DROP,NORMAL_ADD
65.574,340,1,TAP,,SECOND_DROP,EASY_V2
65.958,342,2,TAP,,SECOND_DROP,EASY_V2
67.11,348,0,TAP,,SECOND_DROP,EASY_V2
67.302,349,1,HOLD_CANDIDATE,0.768,SECOND_DROP,NORMAL_ADD
67.878,352,2,TAP,,SECOND_DROP,EASY_V2
68.454,355,0,TAP,,SECOND_DROP,NORMAL_ADD
69.414,360,2,TAP,,SECOND_DROP,EASY_V2
70.758,367,0,TAP,,SECOND_DROP,NORMAL_ADD
70.95,368,1,TAP,,SECOND_DROP,EASY_V2
71.718,372,2,TAP,,SECOND_DROP,EASY_V2
72.486,376,0,TAP,,SECOND_DROP,EASY_V2
73.062,379,2,TAP,,SECOND_DROP,NORMAL_ADD
73.254,380,2,TAP,,SECOND_DROP,EASY_V2
74.79,388,2,TAP,,SECOND_DROP,EASY_V2
74.982,389,1,TAP,,SECOND_DROP,NORMAL_ADD
75.174,390,0,TAP,,SECOND_DROP,EASY_V2
76.326,396,2,TAP,,SECOND_DROP,EASY_V2
76.71,398,1,TAP,,SECOND_DROP,EASY_V2
77.286,401,2,TAP,,SECOND_DROP,NORMAL_ADD
77.862,404,2,TAP,,SECOND_DROP,EASY_V2
78.246,406,1,TAP,,SECOND_DROP,EASY_V2
79.398,412,0,TAP,,SECOND_DROP,EASY_V2
79.59,413,1,TAP,,SECOND_DROP,NORMAL_ADD
80.166,416,1,TAP,,OUTRO,EASY_V2
80.934,420,2,TAP,,OUTRO,EASY_V2
81.702,424,1,HOLD_CANDIDATE,0.768,OUTRO,EASY_V2
82.47,428,0,TAP,,OUTRO,EASY_V2
83.238,432,2,TAP,,OUTRO,EASY_V2
84.006,436,1,TAP,,OUTRO,EASY_V2
85.542,444,0,TAP,,OUTRO,EASY_V2
86.31,448,1,TAP,,OUTRO,EASY_V2
87.078,452,2,TAP,,OUTRO,EASY_V2
87.846,456,1,TAP,,OUTRO,EASY_V2
88.614,460,0,TAP,,OUTRO,EASY_V2
89.382,464,2,TAP,,OUTRO,EASY_V2
